formula,bandgap,formation_energy,n_sites,volume,density,volume_per_atm,n_elements,mean_electronegativity,electronegativity_diff,mean_atomicmass,mean_row,mean_group
Ac2S3,3.0275,-2.440363970687502,10,328.4648931310559,5.5629707291726245,32.846489313105586,2,1.84,1.48,129.5325,5.0,9.5
AcBO3,0.8071,-2.475389555333333,5,51.548126407860565,9.206878618664959,10.309625281572114,3,2.1933333333333334,2.34,84.60346666666668,3.6666666666666665,10.666666666666666
AcCrO3,2.0031,-3.1389721295,5,61.36284504026082,8.848788059091582,12.272569008052164,3,2.0666666666666664,2.34,98.33183333333334,4.333333333333333,8.333333333333334
AcFeO3,0.9887999999999991,-2.771539465500001,5,61.7973106325867,8.889999478340041,12.35946212651734,3,2.1233333333333335,2.34,99.6148,4.333333333333333,9.0
AcGaO3,2.895900000000001,-3.063252617,5,61.45507829330739,9.314495016229168,12.291015658661477,3,2.1166666666666667,2.34,104.2408,4.333333333333333,10.666666666666666
AcH3,0.640699999999999,-0.671802030937499,4,49.065716066750646,7.7847338327353786,12.266429016687662,2,1.6500000000000001,1.1,114.00397,4.0,2.0
AcI3,2.5892,-1.801003203125001,8,465.6364161794002,4.3344198389449,58.20455202242503,2,1.8800000000000001,1.56,176.952235,6.0,10.0
AcScO3,3.3847,-3.8290604304999993,5,70.19180130743561,7.569207419404459,14.038360261487123,3,1.9666666666666668,2.34,95.98510399999999,4.333333333333333,7.333333333333333
AcTlTe2,0.6253000000000001,-1.251402644791669,4,135.23314933262142,8.430613346982094,33.808287333155356,3,1.6066666666666667,1.0,186.32776666666666,6.0,10.666666666666666
Ag2HgI4,1.276399999999999,-0.5112391594047601,7,266.98199455421025,5.74662563670987,38.14028493631575,3,2.1966666666666668,0.7300000000000002,145.12089,5.333333333333333,13.333333333333334
Ag2HgI4,1.2219,-0.512362546547618,7,266.73707472580065,5.751902228148552,38.105296389400095,3,2.1966666666666668,0.7300000000000002,145.12089,5.333333333333333,13.333333333333334
Ag2HgI4,1.100399999999999,-0.509957182261901,7,267.8769872409628,5.727425824246198,38.26814103442326,3,2.1966666666666668,0.7300000000000002,145.12089,5.333333333333333,13.333333333333334
Ag2PbI4,0.9013999999999991,-0.558193473333332,7,255.27057984852271,6.05326997967276,36.4672256926461,3,2.3066666666666666,0.7300000000000002,147.32422333333332,5.333333333333333,14.0
Ag2PbO2,1.3818000000000001,-0.817315429666662,10,176.20682525541727,8.574442815502787,17.620682525541728,3,2.5666666666666664,1.51,110.35586666666666,4.333333333333333,13.666666666666666
Ag2S,1.2299,-0.10626627927083301,6,129.09696057998443,6.374803933174396,21.51616009666407,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag2S,0.9741999999999991,-0.223968058819444,6,126.37249472142531,6.512238393966105,21.062082453570884,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag2S,1.0891,-0.10503542927083401,6,136.10466800899007,6.0465803569043315,22.68411133483168,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag2S,0.6818999999999991,-0.104605967604167,6,135.48455644931545,6.074255499179462,22.58075940821924,2,2.255,0.6500000000000001,69.9666,4.0,13.5
Ag2S,0.6684999999999991,-0.104826904270834,6,135.18798519118562,6.087581014705462,22.531330865197603,2,2.255,0.6500000000000001,69.9666,4.0,13.5
