id,formula,bandgap,formation_energy,density,volume,n_elements,energy_per_volume,is_binary,is_ternary,bg_category
mp-32800,Ac2S3,2.2962,-2.4930635934375,6.535149338291522,1118.407852007047,2,-0.0022291184642199663,1,0,medium
mp-977351,Ac2S3,3.0275,-2.440363970687502,5.562970721400395,328.4648931310559,2,-0.007429603655431781,1,0,wide
mp-1183052,AcBO3,0.8071,-2.475389555333333,9.206878605801688,51.54812640786059,3,-0.04802094135774176,0,1,narrow
mp-866101,AcCrO3,2.0031,-3.1389721295,8.848788046728616,61.36284504026082,3,-0.05115427955533167,0,1,medium
mp-861502,AcFeO3,0.9887999999999992,-2.771539465500001,8.889999465919495,61.79731063258672,3,-0.04484886861789295,0,1,narrow
mp-1183053,AcGaO3,2.895900000000001,-3.063252617,9.31449500321555,61.455078293307366,3,-0.04984539442582724,0,1,wide
mp-861605,AcH3,0.640699999999999,-0.671802030937499,7.784733821859042,49.065716066750646,2,-0.01369188273994732,1,0,narrow
mp-861867,AcI3,2.5892,-1.801003203125001,4.334419832889124,465.6364161794002,2,-0.003867831510908097,1,0,wide
mp-1183152,AcScO3,3.3847,-3.8290604304999993,7.569207408829243,70.19180130743561,3,-0.05455139146136112,0,1,wide
mp-865028,AcTlTe2,0.6253000000000001,-1.251402644791669,8.430613335203375,135.23314933262142,3,-0.009253667839337978,0,1,narrow
mp-567334,Ag(BCl)6,2.7028,-0.736950766538461,2.666185535806875,1920.521817588254,3,-0.00038372423566835934,0,1,wide
mp-600237,Ag(CO)2,0.737499999999999,-0.6242780280833331,4.002724513097296,543.9157051595018,3,-0.0011477477523842876,0,1,narrow
mp-654937,Ag(CO)2,0.7248000000000001,-0.6433775220833331,3.892154022538718,559.3675670318058,3,-0.0011501873901937371,0,1,narrow
mp-568386,Ag10Te4Br3,0.9637,-0.364350311960783,6.979004698072393,1740.52548358504,3,-0.00020933351186005846,0,1,narrow
mp-568392,Ag10Te4Br3,0.8722000000000001,-0.366431655490194,7.194733997305497,1688.3369880809976,3,-0.00021703703589808136,0,1,narrow
mp-1245378,Ag15W7N19,0.9837,0.121359137271339,7.132913997491944,1476.428762879743,3,8.219776011043741e-05,0,1,narrow
mp-1205258,Ag2(MoO4)3,0.9809,-1.118035937254902,4.629085242129484,998.0257946695804,3,-0.0011202475359116883,0,1,narrow
mp-1197575,Ag2AsS2,0.533399999999999,-0.146347212812494,5.345360682313937,881.7206087666286,3,-0.0001659791223630441,0,1,narrow
mp-1247866,Ag2B8O13,2.9324,-2.503243793550724,3.27284456333392,1035.4718414916476,3,-0.002417490938183968,0,1,wide
mp-554873,Ag2B8O13,3.4397,-2.510655715724636,3.401789519714084,996.2222434020954,3,-0.0025201763284774244,0,1,wide
mp-759792,Ag2B8O13,2.858,-2.499107242137681,3.391398519078204,999.27459655565,3,-0.0025009214191491808,0,1,wide
mp-561113,Ag2BiO3,0.5053000000000001,-0.9160639168055552,8.24145910187676,380.9819184513412,3,-0.002404481347905634,0,1,narrow
mp-574486,Ag2CN2,1.0037,0.268039843333338,5.686081048745354,298.7648598761076,3,0.0008971598716277721,0,1,medium
